Date,Bitcoin Price Percentage Change (%),Bitcoin Price (USD)
2018-06-14,5.334067454524685,6638.49
2018-06-15,-3.724792836925258,6391.22
2018-06-16,1.4562164970068265,6484.29
2018-06-17,-0.5726147349979737,6447.16
2018-06-18,4.0616333393308155,6709.02
2018-06-19,0.4082563474248015,6736.41
2018-06-20,0.2922921853034556,6756.1
2018-06-21,-0.548985361377128,6719.01
2018-06-22,-9.810820344068553,6059.82
2018-06-23,1.9550085646108342,6178.29
2018-06-24,-0.4580555461138953,6149.99
2018-06-25,1.5613033517127741,6246.01
2018-06-26,-2.7539181013158833,6074.0
2018-06-27,0.957688508396445,6132.17
2018-06-28,-4.574400253091486,5851.66
2018-06-29,5.993171168523117,6202.36
2018-06-30,2.915503131066238,6383.19
2018-07-01,-0.5277925300672486,6349.5
2018-07-02,4.1308764469643275,6611.79
2018-07-03,-1.6511413701887097,6502.62
2018-07-04,1.3048586569721183,6587.47
2018-07-05,-0.8276318525928836,6532.95
2018-07-06,1.0263357288820547,6600.0
2018-07-07,2.3224242424242387,6753.28
2018-07-08,-0.7597789518574602,6701.97
2018-07-09,-0.5664006254877303,6664.01
2018-07-10,-5.406804611637743,6303.7
2018-07-11,1.3696717800656781,6390.04
2018-07-12,-2.195447915818993,6249.75
2018-07-13,-0.5353814152566109,6216.29
2018-07-14,0.5205677341308027,6248.65
2018-07-15,1.6016259512054594,6348.73
2018-07-16,5.986709152854206,6728.81
2018-07-17,8.711793021351468,7315.01
2018-07-18,0.8746399526453082,7378.99
2018-07-19,1.2335021459576505,7470.01
2018-07-20,-1.8145892709648337,7334.46
2018-07-21,1.002664136146355,7408.0
2018-07-22,-0.13768898488120704,7397.8
2018-07-23,4.356565465408634,7720.09
2018-07-24,8.619200035232748,8385.5
2018-07-25,-2.7231530618329303,8157.15
2018-07-26,-2.7602777931017557,7931.99
2018-07-27,3.1797821227712117,8184.21
2018-07-28,0.5460514820611837,8228.9
2018-07-29,-0.15263279417661524,8216.34
2018-07-30,-0.5638763731783242,8170.01
2018-07-31,-5.419087614335843,7727.27
2018-08-01,-1.5953887983725255,7603.99
2018-08-02,-0.9214899020119661,7533.92
2018-08-03,-1.5906725847898588,7414.08
2018-08-04,-5.517609737148776,7005.0
2018-08-05,0.35703069236260127,7030.01
2018-08-06,-1.308817483901164,6938.0
2018-08-07,-3.167771692130293,6718.22
2018-08-08,-6.485646495649148,6282.5
2018-08-09,4.20135296458416,6546.45
2018-08-10,-6.116903054327148,6146.01
2018-08-11,1.457042861954344,6235.56
2018-08-12,1.2901808337984049,6316.01
2018-08-13,-0.9870155367075122,6253.67
2018-08-14,-0.9380092009971721,6195.01
2018-08-15,1.1945097748026232,6269.01
2018-08-16,0.7479649896873576,6315.9
2018-08-17,4.26843363574471,6585.49
2018-08-18,-2.8676681613668755,6396.64
2018-08-19,1.4521686385352217,6489.53
2018-08-20,-3.556343833836965,6258.74
2018-08-21,3.4695481838197555,6475.89
2018-08-22,-1.7897153904714338,6359.99
2018-08-23,2.6158846161707787,6526.36
2018-08-24,2.5208538909897773,6690.88
2018-08-25,0.6970682481228228,6737.52
2018-08-26,-0.4087557439532776,6709.98
2018-08-27,3.0092489098328175,6911.9
2018-08-28,2.301971961399913,7071.01
2018-08-29,-0.5672456975736222,7030.9
2018-08-30,-0.6812783569670972,6983.0
2018-08-31,0.45839896892453413,7015.01
2018-09-01,2.509903763501402,7191.08
2018-09-02,1.4451236810048014,7295.0
2018-09-03,-0.5211788896504514,7256.98
2018-09-04,1.4195987862719814,7360.0
2018-09-05,-9.130978260869565,6687.96
2018-09-06,-2.885184720004307,6495.0
2018-09-07,-1.539491916859119,6395.01
2018-09-08,-3.237055141430587,6188.0
2018-09-09,0.7596961861667779,6235.01
2018-09-10,1.0423399481315951,6300.0
2018-09-11,-0.2773015873015913,6282.53
2018-09-12,0.6919187015422171,6326.0
